lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,market_segment,distribution_channel,previous_cancellations,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status_date,full_date,arrival_date,is_canceled
9,28,1,0,1,0,1,43,6,2,0,0,0,0,0,184,2,101.0,1,0,8,1,0,0
5,28,1,0,2,0,1,135,6,2,0,3,3,0,0,240,2,97.0,0,0,8,1,0,1
2,28,1,0,2,0,1,135,3,1,0,6,6,0,0,0,2,167.0,0,1,8,1,0,0
44,28,2,0,3,0,2,135,6,2,0,6,6,3,0,240,2,225.0,2,0,8,1,0,0
80,28,2,0,2,0,1,56,6,2,0,3,4,0,0,240,2,97.0,1,0,8,1,0,0
97,28,2,2,2,0,1,51,6,2,0,3,3,0,0,240,2,87.3,0,2,8,1,0,0
109,28,2,3,2,1,1,34,5,2,0,0,3,0,0,241,2,85.59,1,2,8,1,0,0
30,28,2,3,2,0,1,51,6,2,0,4,4,0,0,240,2,123.0,0,0,8,1,0,0
64,28,2,3,2,0,1,135,6,2,0,4,4,0,0,240,2,107.0,0,0,8,1,0,0
39,28,2,4,2,0,1,51,6,2,0,7,7,0,0,240,2,163.0,0,0,8,1,0,0
90,28,2,4,2,0,1,135,6,2,0,0,0,0,0,240,2,82.0,0,0,8,1,0,0
34,28,2,4,2,2,1,135,6,2,0,7,7,0,0,240,2,163.0,0,0,7,1,0,1
93,28,2,5,2,0,2,135,5,2,0,3,3,0,0,15,2,105.5,0,0,6,1,0,1
97,28,2,5,2,2,2,135,3,1,0,2,2,1,0,250,2,164.2,1,1,8,1,0,0
29,28,2,5,2,0,1,76,6,2,0,5,5,0,0,241,2,97.29,0,1,8,1,0,0
101,28,2,5,2,0,2,135,6,2,0,0,0,0,0,240,2,114.0,0,1,4,1,0,1
27,28,2,5,2,0,1,51,5,2,0,4,4,0,0,175,2,98.4,0,0,8,1,0,0
8,28,4,5,2,2,1,29,6,2,0,7,7,1,0,240,2,175.0,1,1,8,1,0,0
82,28,4,6,2,0,1,135,5,2,0,3,3,0,0,5,2,63.6,1,2,8,1,0,0
94,28,4,6,3,0,1,135,3,1,0,3,2,3,0,0,2,124.45,1,1,8,1,0,0
110,28,4,7,2,0,1,59,5,2,0,3,3,0,0,40,0,110.7,0,0,8,1,0,0
96,28,4,10,1,0,2,59,5,2,0,0,0,0,0,40,0,74.07,0,0,8,1,0,0
79,28,4,10,2,0,2,59,5,2,0,3,3,0,0,243,0,134.1,0,0,8,1,0,0
115,28,1,4,2,2,1,135,6,2,0,6,6,1,0,240,2,167.0,0,0,8,1,0,0
111,28,1,3,2,0,1,135,6,2,0,0,2,0,0,240,2,123.0,0,2,8,1,0,0
51,28,1,3,2,0,1,169,6,2,0,6,6,0,0,241,2,117.81,1,2,8,1,0,0
94,28,1,3,3,0,1,34,5,2,0,3,3,0,0,96,2,171.32,0,1,8,1,0,0
81,28,1,3,2,2,2,29,3,1,0,6,6,0,0,250,2,210.0,1,0,8,1,0,0
84,28,1,3,2,0,1,135,6,2,0,3,4,1,0,240,2,97.0,0,2,8,1,0,0
51,28,1,3,3,0,1,169,6,2,0,6,6,0,0,241,2,117.81,0,2,8,1,0,0
111,28,0,0,2,0,1,135,6,2,0,0,7,0,0,240,2,0.0,0,2,8,1,0,0
0,28,0,0,1,0,1,135,3,1,0,4,7,0,0,250,2,0.0,0,0,8,1,0,0
2,28,1,0,2,1,1,135,3,1,0,0,4,0,0,0,2,131.0,0,0,8,1,0,0
7,28,1,1,2,0,1,135,6,2,0,0,4,0,0,240,2,98.0,0,2,8,1,0,0
98,28,1,1,2,0,1,169,6,2,0,3,5,0,0,240,2,87.3,1,1,8,1,0,0
95,28,1,2,2,0,1,66,6,2,0,3,3,0,0,240,2,97.0,0,1,8,1,0,0
48,28,1,3,2,0,2,135,6,2,0,4,4,0,0,240,2,167.0,0,0,7,1,0,1
66,28,1,3,2,0,2,135,5,2,0,0,4,0,0,175,2,91.5,0,0,8,1,0,0
104,28,1,3,2,0,1,135,6,2,0,0,2,1,0,240,2,73.8,0,1,8,1,0,0
28,28,1,4,2,0,1,135,6,2,0,4,4,0,0,240,2,123.0,0,0,8,1,0,0
34,28,1,4,2,0,2,135,3,1,0,5,5,0,0,250,2,175.0,1,0,8,1,0,0
98,28,1,5,2,0,2,51,6,2,0,0,2,0,0,240,2,117.8,1,1,8,1,0,0
104,28,1,5,2,0,1,135,6,2,0,4,4,1,0,240,2,117.63,0,0,8,1,0,0
68,28,2,5,2,2,2,135,6,2,0,6,6,0,0,240,2,185.0,0,0,8,1,0,0
86,28,2,5,1,0,2,135,5,2,0,0,0,0,0,175,2,71.0,0,1,7,1,0,1
258,28,2,5,2,0,1,59,5,2,0,0,0,0,0,2,0,47.25,0,0,8,1,0,0
111,28,3,5,2,0,2,135,6,2,0,0,2,0,0,240,2,151.0,0,1,8,1,0,0
94,28,3,7,2,0,1,135,6,2,0,3,3,0,0,240,2,87.3,0,0,6,1,0,1
112,28,3,7,2,0,1,59,5,2,0,0,0,0,0,242,2,120.6,0,1,8,1,0,0
100,28,3,7,2,0,1,59,5,2,0,3,3,1,0,241,2,63.86,0,1,8,1,0,0
33,28,3,7,2,0,2,135,3,1,0,5,5,5,0,250,2,157.1,0,1,8,1,0,0
97,28,3,7,2,0,2,59,5,2,0,3,3,0,0,156,0,91.37,0,2,8,1,0,0
80,28,3,8,1,0,1,56,3,1,0,0,0,1,0,0,2,73.0,0,0,8,1,0,0
90,28,4,10,2,0,1,81,5,2,0,3,3,0,0,8,0,110.7,0,0,8,1,0,0
111,28,4,10,2,0,1,59,5,2,0,0,0,0,0,40,0,93.6,0,0,8,1,0,0
65,28,2,5,2,0,1,135,5,2,0,3,3,0,0,127,2,83.5,0,0,8,1,0,0
67,28,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,73.8,0,1,6,1,0,1
55,28,0,3,2,0,1,51,6,2,0,0,0,0,0,240,2,82.0,1,2,8,1,0,0
21,28,0,3,2,1,2,135,3,1,0,5,5,0,0,250,2,185.5,0,1,8,1,0,0
8,28,0,0,2,0,1,135,3,1,0,0,0,0,0,0,2,0.0,0,1,8,1,0,0
8,28,0,0,2,0,1,135,6,2,0,0,4,0,0,240,2,0.0,0,1,8,1,0,0
0,28,0,1,1,0,1,59,6,2,0,0,0,0,0,240,2,109.8,0,3,8,1,0,0
0,28,0,1,3,0,2,135,3,1,0,2,2,0,0,0,2,195.0,1,0,8,1,0,0
0,28,0,1,1,0,1,59,6,2,0,0,0,0,0,240,2,109.8,0,3,8,1,0,0
8,28,0,4,3,2,1,51,6,2,0,7,7,2,0,240,2,193.0,0,1,8,1,0,0
66,28,0,4,2,0,1,135,6,2,0,3,3,0,0,240,2,97.0,0,2,8,1,0,0
88,28,0,4,3,0,2,169,5,2,0,3,4,0,0,95,2,150.0,0,1,8,1,0,0
0,28,0,4,2,0,1,123,3,1,0,0,0,2,0,0,2,98.0,0,0,8,1,0,0
43,28,0,5,2,0,2,135,5,2,0,0,0,0,0,134,2,91.5,0,0,6,1,0,1
88,28,2,5,2,0,2,135,6,2,0,4,4,0,0,240,2,139.0,0,2,5,1,0,1
54,28,2,5,2,0,1,76,5,2,0,3,3,0,0,8,2,79.5,0,0,8,1,0,0
292,28,2,5,2,0,1,135,5,2,0,0,0,0,0,2,0,47.25,0,0,4,1,0,1
112,28,4,10,2,0,2,76,5,2,0,3,3,0,0,156,0,126.65,0,1,8,1,0,0
68,28,0,3,2,0,1,59,6,2,0,4,4,0,0,240,2,107.0,0,1,8,1,0,0
7,28,0,4,2,0,1,135,6,2,0,0,0,0,0,240,2,131.0,1,2,8,1,0,0
1,28,0,4,2,0,1,51,6,2,0,0,0,0,0,240,2,131.0,1,1,8,1,0,0
113,28,0,4,2,0,1,135,6,2,0,0,0,0,0,240,2,123.0,0,1,6,1,0,1
5,28,0,4,2,0,1,51,6,2,0,3,3,0,0,240,2,146.0,0,1,8,1,0,0
83,28,0,4,2,0,1,135,5,2,0,0,0,0,0,105,2,110.7,0,1,8,1,0,0
105,28,0,4,2,0,1,135,6,2,0,0,0,0,0,240,2,73.8,0,1,7,1,0,1
0,28,0,1,1,0,1,135,5,2,0,0,0,0,0,146,2,61.0,0,0,8,1,0,0
1,28,0,1,2,0,1,135,2,3,0,0,0,0,0,0,2,104.72,0,1,8,1,0,1
1,28,0,1,2,0,1,135,2,3,0,0,0,0,0,0,2,104.72,0,1,8,1,0,1
1,28,0,2,2,0,1,29,2,3,0,0,5,0,0,0,2,104.72,1,1,8,1,0,0
102,28,1,4,2,0,1,135,3,1,0,0,0,0,0,9,2,66.42,0,1,6,1,0,1
113,28,2,4,2,0,1,135,3,1,0,4,4,1,0,250,2,77.96,1,1,8,1,0,0
280,28,2,5,2,1,2,135,5,2,0,3,3,0,0,40,0,112.0,0,1,5,1,0,1
96,28,2,5,2,0,1,59,6,2,0,4,5,0,0,240,2,107.0,0,1,8,1,0,0
394,28,2,5,2,0,2,59,5,2,0,3,3,0,0,40,0,89.68,0,0,8,1,0,0
33,28,2,5,2,0,2,135,6,2,0,4,4,0,0,240,2,155.0,0,0,8,1,0,0
82,28,2,6,3,0,1,76,3,1,0,0,0,0,0,250,2,112.0,0,1,8,1,0,0
100,28,2,7,3,0,1,46,6,2,0,4,4,1,0,240,3,130.1,0,3,8,1,0,0
100,28,2,7,2,0,1,46,6,2,0,4,4,0,0,240,3,100.1,0,2,8,1,0,0
17,28,0,1,2,2,1,135,6,2,0,2,2,0,0,242,2,123.0,0,3,8,1,0,0
68,28,0,2,3,0,1,6,3,1,0,0,2,0,0,250,2,124.0,1,1,8,1,0,0
12,28,0,2,2,2,1,135,3,1,0,7,6,2,0,0,2,146.0,1,0,8,1,0,0
77,28,0,3,2,0,1,135,3,1,0,3,3,0,0,250,2,97.0,0,0,7,1,0,1
24,28,0,3,2,2,1,135,6,2,0,2,2,0,0,242,2,123.0,0,1,7,1,0,1
44,28,0,3,2,2,1,135,6,2,0,6,6,0,0,240,2,153.0,0,0,7,1,0,1
78,28,0,3,2,0,1,135,6,2,0,0,0,0,0,240,2,82.0,0,2,8,1,0,0
17,28,1,3,2,0,1,135,6,2,0,0,0,0,0,240,2,105.08,0,0,7,1,0,1
103,28,1,3,2,0,1,135,6,2,0,0,0,0,0,240,2,65.42,0,0,7,1,0,1
16,28,1,3,1,0,1,140,3,1,0,0,0,0,0,250,2,98.0,0,1,8,1,0,0
14,28,2,3,2,0,1,154,6,2,0,0,0,0,0,241,2,75.46,1,1,8,1,0,0
77,28,2,3,2,0,1,133,5,2,0,0,0,0,0,177,2,65.5,0,0,8,1,0,0
90,28,2,5,2,0,1,56,5,2,0,0,3,0,0,6,2,90.95,0,0,8,1,0,0
90,28,2,5,2,0,1,59,5,2,0,0,0,0,0,40,0,93.6,0,0,8,1,0,0
90,28,2,5,2,0,1,59,5,2,0,4,4,0,0,143,0,119.25,0,0,8,1,0,0
366,28,2,5,2,0,2,59,5,2,0,4,4,0,0,40,0,134.73,0,0,8,1,0,0
249,28,2,5,2,0,2,135,6,2,0,0,0,0,0,240,2,112.0,0,1,8,1,0,0
69,28,2,6,2,0,2,135,6,2,0,0,0,0,0,240,2,118.13,0,2,6,1,0,1
10,28,0,1,2,0,1,169,3,1,0,0,0,0,0,250,2,131.0,0,0,8,1,0,0
22,28,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,88.2,0,0,8,1,0,0
91,28,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,73.8,0,1,8,1,0,0
23,28,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,98.0,0,0,8,1,0,0
11,28,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,110.5,0,1,8,1,0,0
3,28,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,131.0,0,1,8,1,0,0
13,28,0,2,2,1,2,135,6,2,0,6,6,2,0,240,2,185.0,1,1,8,1,0,0
108,28,0,2,2,0,1,135,6,2,0,3,3,1,0,240,2,87.3,0,2,8,1,0,0
91,28,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,73.8,0,1,8,1,0,0
37,28,1,2,2,0,1,59,6,2,0,2,2,0,0,105,2,120.0,0,1,8,1,0,0
21,28,1,2,2,0,1,11,3,1,0,0,2,0,0,250,2,98.0,0,1,8,1,0,0
106,28,1,2,2,0,1,59,6,2,0,4,4,0,0,240,2,96.3,0,2,8,1,0,0
30,28,2,2,2,0,3,135,3,1,0,5,5,0,0,0,3,197.0,0,1,8,1,0,0
30,28,2,2,2,0,3,135,3,1,0,5,5,0,0,0,3,197.0,0,1,8,1,0,0
51,28,2,3,2,0,1,135,6,2,0,4,4,0,0,240,2,123.0,0,0,7,1,0,1
79,28,2,3,2,0,1,133,6,2,0,0,0,0,0,240,2,82.0,0,2,8,1,0,0
21,28,2,3,2,0,2,135,3,1,0,2,2,1,0,250,2,165.0,1,3,8,1,0,0
35,28,2,3,2,2,1,52,6,2,0,6,6,0,0,240,2,149.4,0,0,8,1,0,0
78,28,2,5,2,0,2,135,6,2,0,0,0,1,0,240,2,106.84,1,2,8,1,0,0
31,28,2,5,2,0,2,135,3,1,0,3,3,1,0,250,2,161.0,1,1,8,1,0,0
78,28,2,5,2,0,2,135,6,2,0,3,3,1,0,240,2,134.43,0,2,8,1,0,0
78,28,2,5,2,0,2,135,6,2,0,4,4,1,0,240,2,144.43,1,2,8,1,0,0
44,28,2,5,1,0,2,140,5,2,0,4,4,2,0,244,2,152.0,0,0,8,1,0,0
34,28,2,5,2,1,2,59,6,2,0,5,5,0,0,241,2,125.54,0,3,8,1,0,0
87,28,2,5,2,1,3,135,5,2,0,2,2,0,0,5,2,133.83,0,2,8,1,0,0
11,28,2,6,3,1,1,135,3,1,0,2,2,0,0,250,2,159.75,1,0,8,1,0,0
115,28,2,7,2,0,1,76,6,2,0,0,0,0,0,240,2,120.6,0,2,8,1,0,0
